ami, amie, amis, amies, i, i, i, i
acteur, actrice, acteurs, actrices, eur, is, eur, is
danseur, danseuse, danseurs, danseuses, eur, ez, eur, ez
lion, lionne, lions, lionnes, on, ne, on, ne
docteur, docteure, docteurs, docteures, eur, eur, eur, eur
maître, maîtresse, maîtres, maîtresses, tre, es, tre, es
roi, reine, rois, reines, oi, ne, oi, ne
vendeur, vendeuse, vendeurs, vendeuses, eur, ez, eur, ez
professeur, professeure, professeurs, professeures, eur, eur, eur, eur
étudiant, étudiante, étudiants, étudiantes, ant, te, ant, te
écrivain, écrivaine, écrivains, écrivaines, in, ine, in, ine
peintre, peintresse, peintres, peintresses, tre, tre, tre, tre
chanteur, chanteuse, chanteurs, chanteuses, eur, ez, eur, ez
cuisinier, cuisinière, cuisiniers, cuisinières, ier, iere, ier, iere
jardinier, jardinière, jardiniers, jardinières, ier, iere, ier, iere
pilote, pilote, pilotes, pilotes, te, te, te, te
avocat, avocate, avocats, avocates, at, ate, at, ate
ingénieur, ingénieure, ingénieurs, ingénieures, eur, eur, eur, eur
architecte, architecte, architectes, architectes, te, te, te, te
pharmacien, pharmacienne, pharmaciens, pharmaciennes, ien, ienne, ien, ienne
boulanger, boulangère, boulangers, boulangères, er, ere, er, ere
pompier, pompière, pompiers, pompières, ier, iere, ier, iere
policier, policière, policiers, policières, ier, iere, ier, iere
directeur, directrice, directeurs, directrices, eur, ice, eur, ice
